Wall time,Step,Value
1707961819.326524,18,-0.007936804555356503
1707961858.5269358,47,-0.0014980435371398926
1707961877.5305324,62,-0.0010537711204960942
1707961879.2883356,63,-0.0010444035287946463
1707961915.3990629,89,-0.000948289642110467
1707961935.3868191,103,-0.0013447906821966171
1707961941.0033333,107,-0.0015091289533302188
1707961973.9228642,128,-0.003017449751496315
1707962022.8318052,164,-0.01458207331597805
1707962035.6863694,172,-0.018039245158433914
1707962062.9030738,191,-0.01623900793492794
1707962079.944775,203,-0.018946342170238495
1707962143.770119,244,-0.018132593482732773
1707962166.1613903,259,-0.018165981397032738
1707962198.4626174,282,-0.01653967797756195
1707962202.7761889,285,-0.017991557717323303
1707962250.367243,319,-0.017697937786579132
1707962317.3351088,366,-0.015850067138671875
1707962345.8567352,386,-0.017867863178253174
1707962368.883017,402,-0.01748289167881012
1707962386.995804,415,-0.01721101999282837
1707962418.1639104,437,-0.017508521676063538
1707962459.2792108,465,-0.01963154226541519
1707962473.7762768,475,-0.019167758524417877
1707962483.72741,481,-0.019615063443779945
1707962526.719941,510,-0.01850776933133602
1707962560.4215744,533,-0.019585145637392998
1707962567.3884943,538,-0.019116882234811783
1707962570.332771,540,-0.020272858440876007
1707962593.244769,556,-0.018984755501151085
1707962601.8020175,562,-0.018845919519662857
1707962648.4503632,594,-0.0186017993837595
1707962651.1310248,596,-0.01833716779947281
1707962709.923233,637,-0.018786700442433357
1707962718.224588,643,-0.02144438587129116
1707962719.6584063,644,-0.02144104801118374
1707962740.3586192,658,-0.01966223120689392
1707962762.5395257,675,-0.020856782793998718
1707962814.026856,721,-0.02179056406021118
1707962861.6626236,764,-0.022857174277305603
1707962873.9585614,775,-0.022193288430571556
1707962906.1340427,804,-0.023560892790555954
1707962964.3342524,857,-0.024608097970485687
1707962974.2851799,866,-0.023470338433980942
1707962996.3388572,886,-0.024086568504571915
1707963065.6360297,942,-0.02251853048801422
1707963138.2804124,999,-0.02375851571559906
1707963158.5990736,1015,-0.022893473505973816
1707963172.5178518,1026,-0.022801419720053673
1707963185.209465,1037,-0.022930461913347244
1707963206.1007025,1056,-0.022304287180304527
1707963222.7550738,1071,-0.022154858335852623
1707963229.3108633,1077,-0.02096792869269848
1707963264.6291428,1109,-0.02216298133134842
1707963266.8496234,1111,-0.022280922159552574
1707963282.3288698,1125,-0.02213214337825775
1707963290.0705018,1132,-0.02210894227027893
1707963310.9935033,1151,-0.02140655741095543
1707963312.1244793,1152,-0.02206837199628353
1707963325.1683922,1164,-0.02068343386054039
1707963336.1128058,1174,-0.020656496286392212
1707963338.266808,1176,-0.02068164013326168
1707963347.2681434,1184,-0.021008675917983055
1707963385.025947,1218,-0.020856110379099846
1707963422.269042,1252,-0.019730277359485626
1707963424.5429296,1254,-0.020826078951358795
1707963427.944178,1257,-0.020593062043190002
1707963432.3700166,1261,-0.020781952887773514
1707963438.891919,1267,-0.02074003778398037
1707963443.3273306,1271,-0.020604990422725677
1707963508.9995265,1325,-0.02069104090332985
1707963534.3438933,1345,-0.020341817289590836
1707963572.2006953,1375,-0.019051112234592438
1707963573.4644158,1376,-0.020438302308321
1707963625.396091,1417,-0.020076056942343712
1707963676.1200714,1457,-0.01965714618563652
1707963677.3658557,1458,-0.01969745010137558
1707963723.2733605,1494,-0.01941901445388794
1707963733.4838228,1502,-0.019322024658322334
1707963743.6340563,1510,-0.01861361227929592
1707963747.4110622,1513,-0.019064366817474365
1707963791.5613267,1548,-0.018909243866801262
1707963795.3282726,1551,-0.0179390050470829
1707963812.8238263,1565,-0.01830970123410225
1707963816.5479462,1568,-0.019306205213069916
1707963838.0370853,1585,-0.019472554326057434
1707963852.0686572,1596,-0.019334327429533005
1707963890.7770584,1627,-0.01907247304916382
1707963900.8126993,1635,-0.01866539753973484
1707963944.8233113,1670,-0.019220057874917984
1707963963.5985818,1685,-0.018756289035081863
1707963984.8144646,1702,-0.018817944452166557
1707963987.2671762,1704,-0.01911497674882412
1707963995.884185,1711,-0.019097572192549706
1707964079.141617,1777,-0.0181916281580925
1707964166.7472346,1847,-0.019278045743703842
1707964182.9525323,1860,-0.019047871232032776
1707964191.5180376,1867,-0.01920575089752674
1707964231.464182,1899,-0.01874934509396553
1707964235.2308033,1902,-0.01829824410378933
1707964244.0221689,1909,-0.019052984192967415
1707964282.9881787,1940,-0.01890391670167446
1707964308.0076742,1960,-0.01816030964255333
1707964309.2454498,1961,-0.018686851486563683
1707964332.184043,1979,-0.018802374601364136
1707964445.904929,2070,-0.018385902047157288
1707964457.1497457,2079,-0.018817849457263947
1707964469.9375024,2089,-0.018307995051145554
1707964483.8144107,2100,-0.01867540553212166
1707964619.971172,2209,-0.018399149179458618
1707964654.51864,2239,-0.018021441996097565
1707964745.0902333,2319,-0.01798088848590851
1707964791.3122132,2359,-0.018335681408643723
1707964833.4781358,2394,-0.018178869038820267
1707964883.648705,2436,-0.017971785739064217
1707964889.8331678,2441,-0.018094845116138458
1707964905.491086,2454,-0.017732616513967514
1707964914.8189158,2462,-0.0177537202835083
1707964918.425741,2465,-0.017143316566944122
1707964943.446009,2485,-0.017128005623817444
1707964963.6296556,2503,-0.016724100336432457
1707964979.7039487,2517,-0.01691741868853569
1707964994.143088,2530,-0.016857372596859932
1707965046.040621,2577,-0.01807612180709839
1707965047.152048,2578,-0.01771555468440056
1707965070.1380534,2599,-0.01793866977095604
1707965100.8891501,2627,-0.017726629972457886
1707965109.587504,2635,-0.017275897786021233
1707965118.2768424,2643,-0.017949048429727554
1707965166.3873127,2684,-0.01817804016172886
1707965176.1781914,2693,-0.01762903667986393
1707965192.9850347,2708,-0.01811678521335125
1707965204.0215852,2717,-0.018802165985107422
1707965223.610803,2734,-0.018159670755267143
1707965230.1478713,2740,-0.01833498477935791
1707965244.5299304,2753,-0.018050942569971085
1707965245.644463,2754,-0.018064705654978752
1707965246.6998758,2755,-0.018266193568706512
1707965258.5311575,2765,-0.01782304421067238
1707965262.541437,2768,-0.017564130946993828
1707965283.1260953,2785,-0.017884019762277603
