Wall time,Step,Value
1707961819.3261278,18,-0.06903594732284546
1707961858.5266578,47,-0.031703460961580276
1707961877.530188,62,-0.02327936887741089
1707961879.2880354,63,-0.022697320207953453
1707961915.3987043,89,-0.015727663412690163
1707961935.3865461,103,-0.017417913302779198
1707961941.002997,107,-0.019767198711633682
1707961973.9225187,128,-0.029993172734975815
1707962022.8315003,164,-0.09395887702703476
1707962035.685752,172,-0.10754603147506714
1707962062.9027689,191,-0.09621487557888031
1707962079.9443824,203,-0.10508660972118378
1707962143.7691102,244,-0.09921156615018845
1707962166.1610918,259,-0.10138349235057831
1707962198.462308,282,-0.0930703729391098
1707962202.7757475,285,-0.09960739314556122
1707962250.3669813,319,-0.09746292233467102
1707962317.3346965,366,-0.08869463205337524
1707962345.8563225,386,-0.09577919542789459
1707962368.882706,402,-0.09343834221363068
1707962386.995511,415,-0.09059813618659973
1707962418.163621,437,-0.09125890582799911
1707962459.2788956,465,-0.09581270068883896
1707962473.7758102,475,-0.0970013439655304
1707962483.727116,481,-0.09681370109319687
1707962526.7195165,510,-0.09214164316654205
1707962560.4212558,533,-0.0973123162984848
1707962567.3881812,538,-0.0934380441904068
1707962570.3324249,540,-0.09911622852087021
1707962593.2443767,556,-0.09460099041461945
1707962601.8016505,562,-0.09470391273498535
1707962648.4500937,594,-0.0946112722158432
1707962651.1307137,596,-0.09286275506019592
1707962709.9228039,637,-0.09826330840587616
1707962718.2242746,643,-0.10870431363582611
1707962719.6581132,644,-0.10906751453876495
1707962740.358221,658,-0.10056650638580322
1707962762.5392232,675,-0.1055767685174942
1707962814.0264564,721,-0.11422578990459442
1707962861.6623242,764,-0.12047740817070007
1707962873.9581318,775,-0.1168990358710289
1707962906.1337454,804,-0.12681637704372406
1707962964.3338625,857,-0.12853047251701355
1707962974.2848804,866,-0.12205450981855392
1707962996.3385723,886,-0.12651462852954865
1707963065.6357467,942,-0.11455321311950684
1707963138.2799897,999,-0.11967580020427704
1707963158.598782,1015,-0.11594176292419434
1707963172.517567,1026,-0.11607109755277634
1707963185.209184,1037,-0.11557959020137787
1707963206.1004288,1056,-0.11502160876989365
1707963222.754703,1071,-0.11264924705028534
1707963229.310414,1077,-0.10687696188688278
1707963264.6288328,1109,-0.1101459264755249
1707963266.8493392,1111,-0.10916084051132202
1707963282.328601,1125,-0.11132677644491196
1707963290.0701966,1132,-0.11150216311216354
1707963310.9931858,1151,-0.10847114771604538
1707963312.1242044,1152,-0.11075040698051453
1707963325.1679869,1164,-0.10678760707378387
1707963336.1125116,1174,-0.10392560809850693
1707963338.2665231,1176,-0.1055116280913353
1707963347.2677457,1184,-0.10765158385038376
1707963385.0255175,1218,-0.10764855146408081
1707963422.2687497,1252,-0.10454659909009933
1707963424.5425968,1254,-0.1085258349776268
1707963427.943903,1257,-0.10749917477369308
1707963432.369709,1261,-0.10846161842346191
1707963438.8916104,1267,-0.10816894471645355
1707963443.3269424,1271,-0.10507911443710327
1707963508.9991953,1325,-0.10542036592960358
1707963534.3435454,1345,-0.10401280969381332
1707963572.200379,1375,-0.09935828298330307
1707963573.4640825,1376,-0.10248583555221558
1707963625.3956747,1417,-0.10132072865962982
1707963676.1197731,1457,-0.09841747581958771
1707963677.365448,1458,-0.09891816228628159
1707963723.2730713,1494,-0.09711205214262009
1707963733.4833744,1502,-0.09710641950368881
1707963743.6335528,1510,-0.0945325717329979
1707963747.4107676,1513,-0.09652411937713623
1707963791.561027,1548,-0.0947393923997879
1707963795.3279934,1551,-0.09170641005039215
1707963812.8235433,1565,-0.09304003417491913
1707963816.5476782,1568,-0.09638070315122604
1707963838.0368116,1585,-0.09559883922338486
1707963852.0683694,1596,-0.09490452706813812
1707963890.7767947,1627,-0.09454350173473358
1707963900.8124385,1635,-0.0940907895565033
1707963944.823037,1670,-0.09694185853004456
1707963963.5982733,1685,-0.09342682361602783
1707963984.8140976,1702,-0.09439603984355927
1707963987.2668774,1704,-0.09346339106559753
1707963995.8836648,1711,-0.09422652423381805
1707964079.1412268,1777,-0.09295805543661118
1707964166.7469678,1847,-0.09472578018903732
1707964182.9522665,1860,-0.0935966819524765
1707964191.5177643,1867,-0.09241364896297455
1707964231.4637768,1899,-0.0876166820526123
1707964235.230532,1902,-0.08818548917770386
1707964244.021906,1909,-0.08970189094543457
1707964282.987788,1940,-0.08891572803258896
1707964308.0071862,1960,-0.08766597509384155
1707964309.245152,1961,-0.08901959657669067
1707964332.1836014,1979,-0.0876060351729393
1707964445.9044707,2070,-0.09057726711034775
1707964457.1494496,2079,-0.09126603603363037
1707964469.9372044,2089,-0.08932949602603912
1707964483.814103,2100,-0.09099531173706055
1707964619.9704564,2209,-0.0905158519744873
1707964654.5183475,2239,-0.08844505250453949
1707964745.0899637,2319,-0.08890287578105927
1707964791.311939,2359,-0.09036679565906525
1707964833.4778373,2394,-0.09095331281423569
1707964883.6483757,2436,-0.08731281757354736
1707964889.8325634,2441,-0.0888502225279808
1707964905.4908013,2454,-0.08649247139692307
1707964914.8185291,2462,-0.08636718988418579
1707964918.4253616,2465,-0.08279439806938171
1707964943.4456105,2485,-0.08326665312051773
1707964963.6292334,2503,-0.08148597925901413
1707964979.7035794,2517,-0.08442668616771698
1707964994.1427915,2530,-0.08445858955383301
1707965046.0403125,2577,-0.08770345151424408
1707965047.1516092,2578,-0.0870305597782135
1707965070.137637,2599,-0.0859401673078537
1707965100.8887181,2627,-0.08672578632831573
1707965109.5871887,2635,-0.08596684783697128
1707965118.2765384,2643,-0.08692994713783264
1707965166.3870475,2684,-0.08899848908185959
1707965176.1777751,2693,-0.08866512030363083
1707965192.9847467,2708,-0.08969137072563171
1707965204.0211482,2717,-0.0913570374250412
1707965223.6105304,2734,-0.09035757184028625
1707965230.147488,2740,-0.09156181663274765
1707965244.5296116,2753,-0.09170776605606079
1707965245.6441393,2754,-0.09144310653209686
1707965246.6994915,2755,-0.09125053882598877
1707965258.5308578,2765,-0.09009411931037903
1707965262.5410967,2768,-0.08937010169029236
1707965283.125703,2785,-0.09355010092258453
1707965320.7501261,2812,-0.08733832091093063
1707965352.9416554,2834,-0.08984784781932831
1707965368.0275915,2844,-0.09046103805303574
1707965392.3204453,2861,-0.08814754337072372
1707965472.4646995,2921,-0.08573660254478455
1707965511.5387719,2952,-0.08680568635463715
1707965514.9684837,2955,-0.08626874536275864
1707965525.2983074,2962,-0.08564621210098267
1707965540.1192255,2973,-0.08235540986061096
1707965616.431237,3034,-0.0836658775806427
1707965675.4896643,3083,-0.08764839172363281
1707965676.5576835,3084,-0.0853070318698883
1707965701.1075482,3103,-0.08441738784313202
1707965702.369383,3104,-0.08479191362857819
1707965703.6135156,3105,-0.08403891324996948
1707965723.6119783,3120,-0.08185602724552155
1707965756.670259,3145,-0.08350244164466858
1707965791.073365,3173,-0.08281571418046951
1707965815.6846147,3192,-0.08256088197231293
1707965823.189934,3199,-0.08241122215986252
1707965848.4309514,3217,-0.08212819695472717
1707965852.3515234,3220,-0.08105456829071045
1707965876.4535065,3241,-0.08296450972557068
1707965904.1847417,3265,-0.08373679965734482
1707965907.545683,3268,-0.08257605880498886
1707965952.1823103,3306,-0.08328966796398163
1707965990.384191,3340,-0.0859479159116745
1707966008.4607096,3356,-0.08544433116912842
1707966066.7172925,3404,-0.08492016047239304
1707966131.5424068,3461,-0.08108381181955338
1707966159.6331131,3483,-0.08102984726428986
1707966160.8276136,3484,-0.08118539303541183
1707966170.2174358,3491,-0.08113212138414383
1707966181.886866,3500,-0.08067597448825836
1707966215.0476234,3526,-0.08005823194980621
1707966258.4682286,3566,-0.07926355302333832
1707966262.8210585,3569,-0.07956720143556595
1707966311.285179,3600,-0.08330003172159195
1707966331.458975,3616,-0.08255522698163986
1707966376.0446095,3654,-0.08285368978977203
1707966379.5940871,3657,-0.08319141715765
1707966381.9237292,3659,-0.08170671761035919
1707966384.073641,3661,-0.08341419696807861
1707966387.2868874,3664,-0.08355720341205597
1707966391.548536,3668,-0.0838395208120346
1707966394.719803,3671,-0.08374197781085968
1707966415.4584315,3690,-0.08133335411548615
1707966439.3870177,3712,-0.08141476660966873
1707966492.3194528,3761,-0.08183331042528152
1707966515.1198828,3782,-0.08035571873188019
1707966586.7382138,3848,-0.0838795006275177
1707966588.8864357,3850,-0.08280985057353973
1707966609.4454515,3869,-0.08044654875993729
1707966645.2301178,3902,-0.0820736214518547
1707966655.0503647,3911,-0.0819149762392044
1707966659.2487493,3915,-0.0822499468922615
1707966665.7779408,3921,-0.08240975439548492
1707966678.9008718,3933,-0.08089679479598999
1707966682.0873928,3936,-0.07976827770471573
1707966724.8067057,3975,-0.08094143867492676
1707966765.0134904,4012,-0.08069534599781036
1707966767.1695077,4014,-0.080137237906456
1707966777.0008233,4023,-0.07799725234508514
1707966788.843517,4034,-0.07799958437681198
1707966795.3491426,4040,-0.08019405603408813
1707966802.9256845,4047,-0.08188234269618988
1707966843.1054533,4084,-0.08142638206481934
1707966870.2660892,4109,-0.08210134506225586
1707966876.7648818,4115,-0.08216284215450287
1707966883.3775291,4121,-0.08343552052974701
1707966886.574755,4124,-0.08302759379148483
1707966910.4033277,4146,-0.07959438860416412
1707966948.113585,4181,-0.08160235732793808
1707966959.7833328,4192,-0.07977118343114853
1707966997.7026818,4227,-0.07963195443153381
1707967030.0359824,4257,-0.08290170133113861
1707967096.192541,4318,-0.07695113867521286
1707967107.077462,4328,-0.07705211639404297
1707967183.3254027,4395,-0.08153481781482697
1707967237.5510867,4443,-0.07907478511333466
1707967250.5015497,4454,-0.08328308165073395
1707967335.3637803,4525,-0.07817774266004562
1707967346.7501323,4535,-0.07976651936769485
1707967351.1309273,4539,-0.07869281619787216
1707967378.4615417,4564,-0.08103145658969879
1707967427.73741,4609,-0.07891897857189178
1707967431.0111742,4612,-0.0810353010892868
1707967483.700134,4649,-0.07754357904195786
1707967529.031216,4686,-0.07791255414485931
1707967533.7712224,4690,-0.07632963359355927
1707967536.0495262,4692,-0.07769817858934402
1707967542.425987,4698,-0.07673213630914688
1707967552.1989565,4707,-0.0758572667837143
1707967583.0828528,4730,-0.07690772414207458
1707967593.7165136,4737,-0.07773038744926453
1707967643.5613823,4776,-0.07510211318731308
1707967644.74388,4777,-0.07553862780332565
1707967687.400956,4807,-0.07861434668302536
1707967712.1154933,4830,-0.07838449627161026
1707967714.2190359,4832,-0.07865755259990692
1707967717.3792553,4835,-0.07833048701286316
1707967718.4797616,4836,-0.07952640950679779
1707967727.3013914,4844,-0.07759563624858856
1707967770.9231913,4882,-0.07645990699529648
1707967801.1176043,4910,-0.07500862330198288
1707967821.6436365,4929,-0.0764506608247757
1707967834.1791458,4940,-0.07830602675676346
1707967844.3974173,4949,-0.0792294517159462
1707967879.3238757,4980,-0.07724802196025848
1707967891.2918904,4991,-0.07700794190168381
1707967955.595579,5047,-0.07606762647628784
1707967976.5056195,5066,-0.0777011513710022
1707967990.7866642,5079,-0.07831701636314392
1707968000.4807758,5088,-0.07860272377729416
1707968002.7329311,5090,-0.07710601389408112
1707968048.8662038,5132,-0.07808580249547958
1707968053.3807645,5136,-0.07866866886615753
1707968057.9763258,5140,-0.07707887887954712
1707968074.8742154,5151,-0.07578032463788986
1707968079.4405549,5154,-0.07641232013702393
1707968080.9421487,5155,-0.07831195741891861
1707968118.4842432,5187,-0.0780656486749649
1707968132.9097223,5200,-0.07855945825576782
1707968153.818785,5218,-0.07619448006153107
1707968162.2555315,5225,-0.07722144573926926
1707968176.8830178,5238,-0.07596608996391296
1707968194.4391413,5253,-0.07651166617870331
1707968204.647374,5262,-0.07732172310352325
1707968208.110157,5265,-0.07760896533727646
1707968240.9450285,5295,-0.08003285527229309
1707968267.3188758,5319,-0.08059486001729965
1707968270.6763856,5322,-0.08026371896266937
1707968272.8192928,5324,-0.08163435757160187
1707968277.163866,5328,-0.08181137591600418
1707968316.094638,5362,-0.07781824469566345
1707968324.9856856,5370,-0.07777561247348785
1707968362.5832527,5403,-0.07768051326274872
1707968410.622698,5445,-0.07948802411556244
1707968420.3472784,5454,-0.07848894596099854
1707968425.6831875,5459,-0.08046755939722061
1707968483.3571906,5504,-0.07787521183490753
1707968490.8564057,5509,-0.07636384665966034
1707968504.1685364,5521,-0.07767213881015778
1707968566.0361958,5567,-0.07671132683753967
1707968689.8262105,5667,-0.07285185158252716
