Wall time,Step,Value
1707961819.3268206,18,-0.10004571080207825
1707961858.5272126,47,-0.02954857610166073
1707961877.5308273,62,-0.02298487350344658
1707961879.288617,63,-0.02238822542130947
1707961915.399393,89,-0.020526070147752762
1707961935.3870938,103,-0.026680156588554382
1707961941.0041785,107,-0.028830435127019882
1707961973.9231536,128,-0.046831995248794556
1707962022.8321016,164,-0.17866283655166626
1707962035.686788,172,-0.21032211184501648
1707962062.903335,191,-0.19248804450035095
1707962079.945081,203,-0.21855926513671875
1707962143.7705908,244,-0.18904876708984375
1707962166.1616583,259,-0.1887679100036621
1707962198.4629042,282,-0.16957572102546692
1707962202.7765455,285,-0.1844838559627533
1707962250.3675368,319,-0.1755794733762741
1707962317.3354635,366,-0.1590035855770111
1707962345.8570457,386,-0.16514889895915985
1707962368.8833258,402,-0.16791370511054993
1707962386.9961221,415,-0.1553271859884262
1707962418.1642148,437,-0.15223678946495056
1707962459.279554,465,-0.17183607816696167
1707962473.7775872,475,-0.16725307703018188
1707962483.7277346,481,-0.17315463721752167
1707962526.7203274,510,-0.16032779216766357
1707962560.4219127,533,-0.1799379587173462
1707962567.389477,538,-0.18863743543624878
1707962570.3331068,540,-0.18772749602794647
1707962593.2453432,556,-0.16868072748184204
1707962601.8023841,562,-0.1701928824186325
1707962648.4506311,594,-0.1795555204153061
1707962651.1313286,596,-0.1874147653579712
1707962709.9237454,637,-0.19128626585006714
1707962718.2249749,643,-0.23257187008857727
1707962719.6587267,644,-0.2174479067325592
1707962740.359066,658,-0.21281999349594116
1707962762.539824,675,-0.2274399995803833
1707962814.0271933,721,-0.2503809928894043
1707962861.6629004,764,-0.2896910309791565
1707962873.958991,775,-0.2888340353965759
1707962906.1343458,804,-0.308521568775177
1707962964.3346448,857,-0.3574884831905365
1707962974.2854798,866,-0.3059460520744324
1707962996.339157,886,-0.3552358150482178
1707963065.6363175,942,-0.3110840320587158
1707963138.2807329,999,-0.3093302547931671
1707963158.5993607,1015,-0.32733941078186035
1707963172.518137,1026,-0.3199445903301239
1707963185.20976,1037,-0.3225587010383606
1707963206.100978,1056,-0.30379462242126465
1707963222.75537,1071,-0.3144466280937195
1707963229.3111856,1077,-0.29403018951416016
1707963264.629511,1109,-0.28384777903556824
1707963266.8499057,1111,-0.2943446636199951
1707963282.3291357,1125,-0.2925339937210083
1707963290.0708196,1132,-0.29765892028808594
1707963310.9938898,1151,-0.30537766218185425
1707963312.124752,1152,-0.31679776310920715
1707963325.168717,1164,-0.27766138315200806
1707963336.1130967,1174,-0.26698800921440125
1707963338.267093,1176,-0.2768569588661194
1707963347.2685661,1184,-0.2706613540649414
1707963385.0263553,1218,-0.27761727571487427
1707963422.2693315,1252,-0.23818473517894745
1707963424.5432146,1254,-0.2691628336906433
1707963427.9444547,1257,-0.28471195697784424
1707963432.3703065,1261,-0.2537299394607544
1707963438.892198,1267,-0.25706297159194946
1707963443.3278356,1271,-0.26052767038345337
1707963508.9998324,1325,-0.2539195418357849
1707963534.344213,1345,-0.24507012963294983
1707963572.2009897,1375,-0.21338847279548645
1707963573.4647408,1376,-0.2502008080482483
1707963625.396439,1417,-0.23959040641784668
1707963676.1203625,1457,-0.2475930154323578
1707963677.366615,1458,-0.23255133628845215
1707963723.2736437,1494,-0.23632919788360596
1707963733.484238,1502,-0.24153968691825867
1707963743.634458,1510,-0.21668148040771484
1707963747.4113514,1513,-0.223222553730011
1707963791.5616236,1548,-0.21906821429729462
1707963795.328546,1551,-0.21527060866355896
1707963812.8241012,1565,-0.21805648505687714
1707963816.548211,1568,-0.24147437512874603
1707963838.0373528,1585,-0.24729609489440918
1707963852.068986,1596,-0.22874030470848083
1707963890.7773194,1627,-0.2266244888305664
1707963900.8129644,1635,-0.21438980102539062
1707963944.8236346,1670,-0.23310218751430511
1707963963.598866,1685,-0.2186812460422516
1707963984.8147874,1702,-0.23539714515209198
1707963987.2674742,1704,-0.22409145534038544
1707963995.884632,1711,-0.2306842803955078
1707964079.142028,1777,-0.2102157175540924
1707964166.7475276,1847,-0.23350319266319275
1707964182.9527943,1860,-0.2115156054496765
1707964191.5183065,1867,-0.21626006066799164
1707964231.4646094,1899,-0.21605472266674042
1707964235.2311056,1902,-0.20155176520347595
1707964244.022431,1909,-0.22959792613983154
1707964282.9884927,1940,-0.23056666553020477
1707964308.00797,1960,-0.2014143317937851
1707964309.2457442,1961,-0.2193741649389267
1707964332.184453,1979,-0.2160247266292572
1707964445.9052594,2070,-0.21246027946472168
1707964457.150015,2079,-0.219463050365448
1707964469.9377906,2089,-0.21043764054775238
1707964483.8148062,2100,-0.2127775400876999
1707964619.971477,2209,-0.23196598887443542
1707964654.5189302,2239,-0.20968922972679138
1707964745.0905297,2319,-0.20103222131729126
1707964791.31249,2359,-0.20652085542678833
1707964833.4784117,2394,-0.2028980702161789
1707964883.649029,2436,-0.20693576335906982
1707964889.8335786,2441,-0.21144454181194305
1707964905.491372,2454,-0.19068561494350433
1707964914.8192263,2462,-0.20659254491329193
1707964918.4260702,2465,-0.19418120384216309
1707964943.4462974,2485,-0.1857878863811493
1707964963.6300645,2503,-0.1902092546224594
1707964979.704352,2517,-0.18842315673828125
1707964994.1433804,2530,-0.18639253079891205
1707965046.0409298,2577,-0.19882118701934814
1707965047.1524825,2578,-0.19299405813217163
1707965070.1384566,2599,-0.1944178342819214
1707965100.8895636,2627,-0.2073039710521698
1707965109.5878038,2635,-0.18548011779785156
1707965118.2772117,2643,-0.21392083168029785
1707965166.3875933,2684,-0.22065305709838867
1707965176.1785338,2693,-0.21083030104637146
1707965192.9853225,2708,-0.20818489789962769
1707965204.022002,2717,-0.22365057468414307
1707965223.6110957,2734,-0.2029154896736145
1707965230.1482732,2740,-0.20872996747493744
1707965244.5302262,2753,-0.21098816394805908
1707965245.6447504,2754,-0.2210346758365631
1707965246.7001932,2755,-0.21087118983268738
1707965258.5314677,2765,-0.19391188025474548
1707965262.5418503,2768,-0.20653650164604187
1707965283.1263876,2785,-0.20997612178325653
1707965320.7507546,2812,-0.19974319636821747
1707965352.9422698,2834,-0.19858455657958984
1707965368.0283442,2844,-0.19035100936889648
1707965392.321717,2861,-0.18798398971557617
