Wall time,Step,Value
1707961819.3270924,18,-0.06579667329788208
1707961858.5275068,47,-0.0155037147924304
1707961877.5311074,62,-0.011343330144882202
1707961879.288891,63,-0.011237548664212227
1707961915.3997166,89,-0.010303257033228874
1707961935.3873675,103,-0.014099037274718285
1707961941.0046492,107,-0.015471847727894783
1707961973.923484,128,-0.02849196456372738
1707962022.8324528,164,-0.12005247175693512
1707962035.6873593,172,-0.14478807151317596
1707962062.903591,191,-0.13013678789138794
1707962079.9453738,203,-0.1523040533065796
1707962143.7709296,244,-0.15557226538658142
1707962166.1619723,259,-0.15440376102924347
1707962198.4631908,282,-0.14372187852859497
1707962202.7769709,285,-0.15059778094291687
1707962250.3678262,319,-0.14634163677692413
1707962317.3357918,366,-0.1263168752193451
1707962345.857445,386,-0.1415894776582718
1707962368.8837957,402,-0.1461736559867859
1707962386.996453,415,-0.13725468516349792
1707962418.1646476,437,-0.13937225937843323
1707962459.280106,465,-0.15241965651512146
1707962473.7778945,475,-0.15510307252407074
1707962483.7281141,481,-0.1523015797138214
1707962526.7207525,510,-0.14717839658260345
1707962560.422247,533,-0.16022494435310364
1707962567.3906581,538,-0.1629190742969513
1707962570.3335009,540,-0.16887643933296204
1707962593.2456615,556,-0.15246963500976562
1707962601.802708,562,-0.15377023816108704
1707962648.4509149,594,-0.15617156028747559
1707962651.1317182,596,-0.15330171585083008
1707962709.9240441,637,-0.1636682152748108
1707962718.2254138,643,-0.20105557143688202
1707962719.6590416,644,-0.18327561020851135
1707962740.3594866,658,-0.17280839383602142
1707962762.540152,675,-0.19343434274196625
1707962814.0274901,721,-0.21092736721038818
1707962861.6631956,764,-0.24104219675064087
1707962873.9593027,775,-0.24213920533657074
1707962906.1346424,804,-0.2574613690376282
1707962964.3349292,857,-0.2986527681350708
1707962974.2857761,866,-0.2585221827030182
1707962996.3395061,886,-0.298229455947876
1707963065.6366603,942,-0.26466381549835205
1707963138.281021,999,-0.2804439961910248
1707963158.5996819,1015,-0.27561086416244507
1707963172.5184143,1026,-0.27749761939048767
1707963185.2100322,1037,-0.2729221284389496
1707963206.1013372,1056,-0.27438509464263916
1707963222.7556446,1071,-0.280330628156662
1707963229.3115234,1077,-0.269059956073761
1707963264.6298046,1109,-0.2685640752315521
1707963266.8502283,1111,-0.27103739976882935
1707963282.329405,1125,-0.2757738530635834
1707963290.0711114,1132,-0.2809886932373047
1707963310.994188,1151,-0.28016817569732666
1707963312.1250226,1152,-0.2896251380443573
1707963325.169017,1164,-0.2616444230079651
1707963336.1134095,1174,-0.2537137269973755
1707963338.2673635,1176,-0.25817763805389404
1707963347.2688751,1184,-0.259490966796875
1707963385.0266795,1218,-0.2776809334754944
1707963422.2696464,1252,-0.2351151406764984
1707963424.5435147,1254,-0.26159656047821045
1707963427.9447496,1257,-0.27058351039886475
1707963432.3705952,1261,-0.26122111082077026
1707963438.8924675,1267,-0.26792019605636597
1707963443.328134,1271,-0.2610322833061218
1707963509.0001194,1325,-0.2663151025772095
1707963534.3446157,1345,-0.2510238289833069
1707963572.2012742,1375,-0.24139109253883362
1707963573.465073,1376,-0.26256635785102844
1707963625.3968437,1417,-0.25032317638397217
1707963676.120659,1457,-0.24566873908042908
1707963677.366942,1458,-0.2474474310874939
1707963723.2739244,1494,-0.2546580135822296
1707963733.4845448,1502,-0.25099509954452515
1707963743.634779,1510,-0.2420749068260193
1707963747.4116871,1513,-0.2506048083305359
1707963791.561918,1548,-0.2427099198102951
1707963795.3288183,1551,-0.22535213828086853
1707963812.824365,1565,-0.2305411398410797
1707963816.5484757,1568,-0.25456246733665466
1707963838.0376532,1585,-0.2594570219516754
1707963852.0692823,1596,-0.2511139512062073
1707963890.77758,1627,-0.23643729090690613
1707963900.8132274,1635,-0.2325466126203537
1707963944.8239172,1670,-0.24412879347801208
1707963963.599154,1685,-0.2370627224445343
1707963984.815068,1702,-0.24220684170722961
1707963987.2678773,1704,-0.23956811428070068
1707963995.8849223,1711,-0.2422000616788864
1707964079.1425464,1777,-0.22402653098106384
1707964166.7478483,1847,-0.24855858087539673
1707964182.9530578,1860,-0.2428995817899704
1707964191.5185735,1867,-0.242298424243927
1707964231.464919,1899,-0.23827648162841797
1707964235.2314017,1902,-0.23298077285289764
1707964244.0226927,1909,-0.252682089805603
1707964282.9888682,1940,-0.24519333243370056
1707964308.0082896,1960,-0.22083589434623718
1707964309.2460437,1961,-0.2321595847606659
1707964332.184768,1979,-0.2319945991039276
1707964445.9055722,2070,-0.23794256150722504
1707964457.1503098,2079,-0.2400854527950287
1707964469.9380658,2089,-0.2317303866147995
1707964483.8151095,2100,-0.23584400117397308
1707964619.9720232,2209,-0.24631237983703613
1707964654.5192077,2239,-0.2459263801574707
1707964745.0908175,2319,-0.22475925087928772
1707964791.3127606,2359,-0.2381318062543869
1707964833.4787028,2394,-0.22931520640850067
1707964883.6494398,2436,-0.23219797015190125
1707964889.8340843,2441,-0.22776517271995544
1707964905.4917064,2454,-0.21766911447048187
1707964914.8195038,2462,-0.22536306083202362
1707964918.4263613,2465,-0.21888558566570282
1707964943.4465632,2485,-0.2222568392753601
1707964963.630386,2503,-0.21329253911972046
1707964979.704641,2517,-0.22490724921226501
1707964994.1437101,2530,-0.21056513488292694
1707965046.04123,2577,-0.22336819767951965
1707965047.1528614,2578,-0.2102566808462143
1707965070.1387727,2599,-0.22304761409759521
1707965100.889879,2627,-0.21932420134544373
1707965109.5881326,2635,-0.2136286348104477
1707965118.2775037,2643,-0.23267823457717896
1707965166.38786,2684,-0.23558001220226288
1707965176.1788244,2693,-0.21802222728729248
1707965192.9856045,2708,-0.2271694839000702
1707965204.0223253,2717,-0.24702826142311096
1707965223.6113744,2734,-0.23004159331321716
1707965230.1485922,2740,-0.23346269130706787
1707965244.53052,2753,-0.22149702906608582
1707965245.6450465,2754,-0.2334061712026596
1707965246.700494,2755,-0.22839030623435974
1707965258.531745,2765,-0.21867559850215912
1707965262.542174,2768,-0.2177634835243225
1707965283.1266558,2785,-0.23789969086647034
1707965320.7510583,2812,-0.21968868374824524
1707965352.9426196,2834,-0.23467150330543518
1707965368.0286345,2844,-0.2217167615890503
1707965392.322369,2861,-0.21702758967876434
1707965472.4655619,2921,-0.213072270154953
1707965511.539606,2952,-0.22123336791992188
1707965514.9697351,2955,-0.22309133410453796
1707965525.299348,2962,-0.21649079024791718
1707965540.1202047,2973,-0.212952122092247
1707965616.4322464,3034,-0.20521771907806396
1707965675.490497,3083,-0.20960275828838348
1707965676.55857,3084,-0.21454712748527527
1707965701.1085792,3103,-0.21903960406780243
1707965702.3703492,3104,-0.22076676785945892
1707965703.6143105,3105,-0.21512746810913086
1707965723.6131065,3120,-0.21631062030792236
1707965756.671114,3145,-0.21135328710079193
1707965791.0743654,3173,-0.2162562906742096
1707965815.685492,3192,-0.21589283645153046
1707965823.1908476,3199,-0.2090493142604828
1707965848.4318714,3217,-0.21598415076732635
1707965852.352535,3220,-0.20545729994773865
1707965876.4549906,3241,-0.22053997218608856
1707965904.1861155,3265,-0.21343156695365906
1707965907.546942,3268,-0.2055724710226059
1707965952.1833024,3306,-0.2270570695400238
1707965990.3850482,3340,-0.2163769006729126
1707966008.4620514,3356,-0.22182607650756836
1707966066.7183237,3404,-0.22851893305778503
1707966131.5434086,3461,-0.21814021468162537
1707966159.633989,3483,-0.21124491095542908
1707966160.8286598,3484,-0.22121626138687134
1707966170.2187965,3491,-0.2244115173816681
1707966181.8878818,3500,-0.22005698084831238
1707966215.0484118,3526,-0.2013440579175949
1707966258.4690564,3566,-0.20807382464408875
1707966262.821915,3569,-0.22267338633537292
1707966311.2861083,3600,-0.21123474836349487
1707966331.4599237,3616,-0.2140236496925354
1707966376.045783,3654,-0.22228965163230896
1707966379.5949514,3657,-0.1984078586101532
1707966381.9245799,3659,-0.2245967984199524
1707966384.0745053,3661,-0.2176690399646759
1707966387.2878036,3664,-0.22188381850719452
1707966391.549382,3668,-0.21126291155815125
1707966394.7208154,3671,-0.2167367935180664
1707966415.459235,3690,-0.21329526603221893
1707966439.3878896,3712,-0.22113734483718872
1707966492.3205948,3761,-0.22448647022247314
1707966515.1208656,3782,-0.22376649081707
1707966586.7391238,3848,-0.22626352310180664
1707966588.887293,3850,-0.20487558841705322
1707966609.4465454,3869,-0.2170371115207672
1707966645.231004,3902,-0.21933525800704956
1707966655.0514307,3911,-0.2151530683040619
1707966659.249634,3915,-0.21190837025642395
1707966665.778837,3921,-0.20830164849758148
