Wall time,Step,Value
1707961819.3257215,18,-0.010016456246376038
1707961858.5263526,47,-0.0036899386905133724
1707961877.5298865,62,-0.003488041227683425
1707961879.2876399,63,-0.0035130891483277082
1707961915.3982716,89,-0.0036285482347011566
1707961935.3862517,103,-0.004557132255285978
1707961941.0024822,107,-0.004886414390057325
1707961973.922106,128,-0.005616817623376846
1707962022.8312054,164,-0.01072105672210455
1707962035.6854186,172,-0.011484714224934578
1707962062.9023993,191,-0.010394593700766563
1707962079.9440699,203,-0.01069863885641098
1707962143.7686534,244,-0.008841510862112045
1707962166.1607726,259,-0.00913140457123518
1707962198.4620101,282,-0.00825210940092802
1707962202.7752879,285,-0.008340379223227501
1707962250.366699,319,-0.008548889309167862
1707962317.3342528,366,-0.00801729317754507
1707962345.8560085,386,-0.008508887141942978
1707962368.8823833,402,-0.008852489292621613
1707962386.9951856,415,-0.008712916634976864
1707962418.1633244,437,-0.00923851691186428
1707962459.2781515,465,-0.009306035935878754
1707962473.77515,475,-0.009439080022275448
1707962483.7268236,481,-0.009180890396237373
1707962526.7187052,510,-0.009028634056448936
1707962560.4209337,533,-0.010155854746699333
1707962567.3877974,538,-0.010642662644386292
1707962570.3321059,540,-0.010519887320697308
1707962593.2439027,556,-0.009441342204809189
1707962601.8013153,562,-0.009626444429159164
1707962648.449822,594,-0.00969400629401207
1707962651.1304302,596,-0.009823130443692207
1707962709.9223952,637,-0.01130328606814146
1707962718.2238584,643,-0.013890965841710567
1707962719.6577952,644,-0.011579938232898712
1707962740.3577943,658,-0.011484717950224876
1707962762.5389569,675,-0.012768122367560863
1707962814.026055,721,-0.014088816940784454
1707962861.6620445,764,-0.01717168651521206
1707962873.957717,775,-0.016844669356942177
1707962906.1334429,804,-0.017650991678237915
1707962964.3334727,857,-0.02055928111076355
1707962974.2845643,866,-0.016515063121914864
1707962996.3382874,886,-0.019327253103256226
1707963065.6354458,942,-0.015254385769367218
1707963138.2795975,999,-0.01643700897693634
1707963158.5984888,1015,-0.015696600079536438
1707963172.5172706,1026,-0.01719757169485092
1707963185.2088814,1037,-0.01586165465414524
1707963206.1001527,1056,-0.01647995039820671
1707963222.7542942,1071,-0.01658564619719982
1707963229.3100126,1077,-0.015339541248977184
1707963264.6284173,1109,-0.015009204857051373
1707963266.849053,1111,-0.014808040112257004
1707963282.3283286,1125,-0.014485381543636322
