Wall time,Step,Value
1707961819.3253307,18,-0.0007866946398280561
1707961858.5259554,47,-0.0002885152061935514
1707961877.5295815,62,-0.00027553000836633146
1707961879.2872975,63,-0.00027479196432977915
1707961915.3978617,89,-0.0003881739394273609
1707961935.385969,103,-0.0006518300506286323
1707961941.0020814,107,-0.0007889004191383719
1707961973.9216895,128,-0.00201389379799366
1707962022.8308952,164,-0.012745647691190243
1707962035.6850872,172,-0.016163203865289688
1707962062.9020188,191,-0.013911980204284191
1707962079.9436274,203,-0.017476823180913925
1707962143.7681596,244,-0.015899894759058952
1707962166.160469,259,-0.017243999987840652
1707962198.4617116,282,-0.014513855800032616
1707962202.7749002,285,-0.01682084985077381
1707962250.3664145,319,-0.017507214099168777
1707962317.3335836,366,-0.015763795003294945
1707962345.8555799,386,-0.015523828566074371
1707962368.8820543,402,-0.01595497876405716
1707962386.9948857,415,-0.014883632771670818
1707962418.1630304,437,-0.01426483504474163
1707962459.277675,465,-0.014764897525310516
1707962473.7747493,475,-0.014303716830909252
1707962483.7264433,481,-0.015382516197860241
1707962526.7182994,510,-0.014375913888216019
1707962560.4205365,533,-0.013985274359583855
1707962567.387354,538,-0.014654481783509254
1707962570.3317907,540,-0.014362025074660778
1707962593.2432187,556,-0.014895888976752758
1707962601.801021,562,-0.014464831911027431
1707962648.4495444,594,-0.015162233263254166
1707962651.1301403,596,-0.014037664979696274
1707962709.9219604,637,-0.014440542086958885
1707962718.2234309,643,-0.014415169134736061
1707962719.6574595,644,-0.015934055671095848
1707962740.3574362,658,-0.014055809006094933
1707962762.5386786,675,-0.015247258357703686
1707962814.0256486,721,-0.016941016539931297
1707962861.661732,764,-0.014878387562930584
1707962873.9573174,775,-0.015422731637954712
1707962906.1330483,804,-0.017502890899777412
1707962964.3330598,857,-0.01800834760069847
1707962974.2842572,866,-0.01707475632429123
1707962996.3379896,886,-0.01635543256998062
1707963065.6351113,942,-0.016207559034228325
1707963138.2792647,999,-0.017215926200151443
1707963158.598194,1015,-0.01708139479160309
1707963172.5169554,1026,-0.016677265986800194
1707963185.208603,1037,-0.016956210136413574
1707963206.0998712,1056,-0.016074275597929955
1707963222.7538664,1071,-0.016827356070280075
1707963229.3095803,1077,-0.01594221219420433
1707963264.6280196,1109,-0.01638878509402275
1707963266.8487635,1111,-0.01623549684882164
1707963282.3280308,1125,-0.016833990812301636
1707963290.0694458,1132,-0.016616057604551315
1707963310.9923959,1151,-0.016753558069467545
1707963312.1236265,1152,-0.01824919879436493
1707963325.1672225,1164,-0.016789786517620087
1707963336.1119313,1174,-0.015662450343370438
1707963338.2658987,1176,-0.015459026210010052
1707963347.2669916,1184,-0.016922874376177788
1707963385.0248911,1218,-0.01640200801193714
1707963422.2681606,1252,-0.015602512285113335
1707963424.5417624,1254,-0.016425535082817078
1707963427.9432633,1257,-0.017257386818528175
1707963432.3686893,1261,-0.015651274472475052
1707963438.8909752,1267,-0.01468780916184187
1707963443.3259845,1271,-0.016367686912417412
1707963508.9985883,1325,-0.016511639580130577
1707963534.342929,1345,-0.016103770583868027
1707963572.1994765,1375,-0.01467307098209858
1707963573.4634736,1376,-0.01646515354514122
1707963625.3950574,1417,-0.015620741061866283
1707963676.118401,1457,-0.016335945576429367
1707963677.3646684,1458,-0.0156844649463892
1707963723.2724829,1494,-0.016364246606826782
1707963733.4827774,1502,-0.01675437018275261
1707963743.6324499,1510,-0.015893056988716125
1707963747.4099991,1513,-0.015763558447360992
1707963791.560399,1548,-0.015675727277994156
1707963795.3273497,1551,-0.015811819583177567
1707963812.822953,1565,-0.01554202288389206
1707963816.547094,1568,-0.017225269228219986
1707963838.036249,1585,-0.01708907261490822
1707963852.0677872,1596,-0.01616937294602394
1707963890.7762663,1627,-0.01622704230248928
1707963900.8119066,1635,-0.015140886418521404
1707963944.8224714,1670,-0.016200315207242966
1707963963.5974576,1685,-0.016147656366229057
1707963984.813264,1702,-0.018029365688562393
1707963987.266182,1704,-0.016588423401117325
1707963995.8823562,1711,-0.016801007091999054
1707964079.1404483,1777,-0.016559217125177383
1707964166.7463694,1847,-0.017887040972709656
1707964182.9517324,1860,-0.01713096909224987
1707964191.5171664,1867,-0.016359150409698486
1707964231.463061,1899,-0.01616206020116806
1707964235.229957,1902,-0.015930458903312683
1707964244.0213282,1909,-0.016384854912757874
1707964282.987062,1940,-0.01818687841296196
1707964308.0064332,1960,-0.016599318012595177
1707964309.2445447,1961,-0.016446121037006378
1707964332.1830177,1979,-0.01689891889691353
1707964445.9036567,2070,-0.01614038273692131
1707964457.148881,2079,-0.017803188413381577
1707964469.9366019,2089,-0.01660970225930214
1707964483.8133967,2100,-0.017114456743001938
1707964619.9696095,2209,-0.01817077212035656
1707964654.517766,2239,-0.016188662499189377
1707964745.0893645,2319,-0.015634510666131973
1707964791.31123,2359,-0.016527628526091576
1707964833.4768376,2394,-0.016823889687657356
1707964883.6477017,2436,-0.01772717945277691
1707964889.8312771,2441,-0.01780642755329609
1707964905.490192,2454,-0.01661941036581993
1707964914.81774,2462,-0.01741754822432995
1707964918.424681,2465,-0.0164642333984375
1707964943.444985,2485,-0.015735797584056854
1707964963.628462,2503,-0.01600589230656624
1707964979.7029579,2517,-0.01566614955663681
1707964994.1421738,2530,-0.01666153222322464
1707965046.0396817,2577,-0.01666656881570816
1707965047.1509757,2578,-0.01680593006312847
1707965070.1368065,2599,-0.016624417155981064
1707965100.88791,2627,-0.016967685893177986
1707965109.586585,2635,-0.015605508349835873
1707965118.2757704,2643,-0.017074357718229294
1707965166.3859704,2684,-0.016399133950471878
1707965176.1769624,2693,-0.017051033675670624
1707965192.9841635,2708,-0.017354678362607956
1707965204.0204182,2717,-0.016862668097019196
1707965223.6099458,2734,-0.0163202453404665
1707965230.1468792,2740,-0.016645710915327072
1707965244.5289638,2753,-0.016992783173918724
1707965245.6435506,2754,-0.01698661595582962
1707965246.698768,2755,-0.016911379992961884
1707965258.530014,2765,-0.0167938694357872
1707965262.5401945,2768,-0.016567915678024292
1707965283.1248028,2785,-0.016604352742433548
1707965320.749498,2812,-0.017001282423734665
1707965352.9410067,2834,-0.016525108367204666
1707965368.026952,2844,-0.015809496864676476
1707965392.319019,2861,-0.015636183321475983
1707965472.4640756,2921,-0.0162176676094532
1707965511.5381944,2952,-0.01632673479616642
1707965514.9678283,2955,-0.016525205224752426
1707965525.2977362,2962,-0.01613810285925865
1707965540.1186516,2973,-0.015142090618610382
1707965616.4305255,3034,-0.016378380358219147
1707965675.4891133,3083,-0.015754472464323044
1707965676.5571034,3084,-0.015576519072055817
1707965701.1069343,3103,-0.016254283487796783
1707965702.3683279,3104,-0.015973825007677078
1707965703.6129758,3105,-0.016725240275263786
1707965723.6112993,3120,-0.015299208462238312
1707965756.6696155,3145,-0.015477362088859081
1707965791.0725517,3173,-0.016344506293535233
1707965815.684014,3192,-0.01624930649995804
1707965823.1893044,3199,-0.015990881249308586
1707965848.4300663,3217,-0.015926409512758255
1707965852.3508751,3220,-0.014777464792132378
1707965876.4528432,3241,-0.01630895398557186
1707965904.1835773,3265,-0.015991246327757835
1707965907.544678,3268,-0.01579977571964264
1707965952.1816382,3306,-0.014935776591300964
1707965990.3835814,3340,-0.016146719455718994
1707966008.4601588,3356,-0.017112363129854202
1707966066.7164648,3404,-0.016130885109305382
1707966131.541582,3461,-0.015678882598876953
1707966159.6324694,3483,-0.015953075140714645
1707966160.827004,3484,-0.01677851378917694
1707966170.216607,3491,-0.015700269490480423
1707966181.8862891,3500,-0.015001101419329643
1707966215.0470502,3526,-0.0152672678232193
1707966258.4675658,3566,-0.015483754687011242
1707966262.8204448,3569,-0.015988901257514954
1707966311.2845175,3600,-0.015157600864768028
1707966331.458161,3616,-0.015613513998687267
1707966376.0437753,3654,-0.015851158648729324
1707966379.593473,3657,-0.014460649341344833
1707966381.9231176,3659,-0.015361785888671875
1707966384.0730288,3661,-0.015444725751876831
1707966387.2863128,3664,-0.01578376814723015
1707966391.5479703,3668,-0.01438986137509346
1707966394.7190206,3671,-0.015857240185141563
1707966415.45789,3690,-0.016395842656493187
1707966439.3864324,3712,-0.016166068613529205
1707966492.3188846,3761,-0.015942048281431198
1707966515.119298,3782,-0.01584489829838276
1707966586.737625,3848,-0.01651262864470482
1707966588.8858185,3850,-0.01507575623691082
1707966609.4446244,3869,-0.015078656375408173
1707966645.2294955,3902,-0.015340901911258698
1707966655.0495675,3911,-0.016256924718618393
1707966659.2481055,3915,-0.015759959816932678
1707966665.7773306,3921,-0.01618746854364872
1707966678.9000568,3933,-0.015985459089279175
1707966682.0867872,3936,-0.015298161655664444
1707966724.8061566,3975,-0.015759166330099106
1707966765.0129356,4012,-0.01456976868212223
1707966767.1689303,4014,-0.013639179989695549
1707966777.0002358,4023,-0.015018576756119728
1707966788.8428683,4034,-0.014916538260877132
1707966795.3483198,4040,-0.015349085442721844
